Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Results,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 29,767,65.40%,€ 0.04,"1,172",0,0.00%,"1,145","2,203",767,834,71.20%, € -   ,€ 25.13,34.80%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 12,"8,356",81.90%,€ 0.00,"10,203",2,0.00%,"8,356","11,298",15,171,1.70%,€ 6.18,€ 1.21,0.10%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 195,"102,699",67.70%,€ 0.00,"151,622",17,0.00%,"102,699","171,099",461,"3,565",2.40%,€ 11.48,€ 1.29,0.30%,€ 0.00,€ 0.05
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 32,831,70.40%,€ 0.04,"1,180",0,0.00%,"1,140","2,240",831,885,75.00%, € -   ,€ 26.92,37.10%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 13,"9,342",85.90%,€ 0.00,"10,873",6,0.10%,"9,342","12,581",26,186,1.70%,€ 2.16,€ 1.19,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 190,"106,472",71.20%,€ 0.00,"149,494",17,0.00%,"106,472","168,456",390,"3,377",2.30%,€ 11.17,€ 1.27,0.20%,€ 0.00,€ 0.06
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 14,"10,499",83.90%,€ 0.00,"12,507",7,0.10%,"10,499","14,098",30,222,1.80%,€ 2.06,€ 1.15,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 191,"107,447",69.50%,€ 0.00,"154,575",22,0.00%,"107,447","172,226",414,"3,456",2.20%,€ 8.68,€ 1.24,0.20%,€ 0.00,€ 0.06
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 32,804,66.00%,€ 0.04,"1,219",0,0.00%,"1,219","2,298",804,871,71.50%, € -   ,€ 26.21,35.00%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 37,907,67.50%,€ 0.04,"1,343",0,0.00%,"1,303","2,551",907,982,73.10%, € -   ,€ 27.54,35.60%,€ 0.01,€ 0.04
