Retailer,Range,Product Name,Size,Product Type,Unit,Revenue,Δ Unit YTD %,Δ Revenue YTD %
DocMorris,HYDRABIO,HYDRABIO GEL-CREAM,40 ml,Care,91,"€ 2,659",82.00%,219%
ApoDiscounter,ATODERM,ATODERM GEL DOUCHE,500 ml,Cleansing,90,€ 758,-42.68%,-50%
Shop Apotheke,SENSIBIO,SENSIBIO LAIT,250 ml,Care,90,"€ 1,152",-44.79%,-43%
ApoDiscounter,ATODERM,ATODERM INTENSIVE BAUME,75 ml,Care,89,€ 860,-33.08%,-19%
TNA,PHOTODERM,PHOTODERM AQUAFLUIDE INVISIBLE SPF 50+,40 ml,Sun Care,89,"€ 1,457",0.00%,0%
TNA,SEBIUM,SEBIUM HYDRA,40 ml,Care,89,"€ 7,772",0.00%,0%
TNA,SENSIBIO,SENSIBIO DEFENSIVE RICH,40 ml,Care,88,"€ 2,358",0.00%,0%
MedPex,ATODERM,ATODERM LEVRES,15 ml,Care,88,"€ 1,148",125.64%,301%
TNA,HYDRABIO,HYDRABIO SERUM,40 ml,Care,87,"€ 1,650",,
MPK,ATODERM,ATODERM STICK LEVRES,4 g,Care,87,€ 656,-36.96%,5%
MPK,SENSIBIO,SENSIBIO DEFENSIVE RICH,40 ml,Care,87,"€ 1,147",29.85%,14%
ApoDiscounter,PHOTODERM,PHOTODERM PEDIATRICS SPRAY SPF 50+,200 ml,Sun Care,86,"€ 1,969",40.98%,55%
Shop Apotheke,SEBIUM,SEBIUM HYDRA CLEANSER,200 ml,Cleansing,86,"€ 1,135",0.00%,0%
DocMorris,SEBIUM,SEBIUM H2O,500 ml,Cleansing,85,"€ 2,602",844.44%,2015%
MPK,ATODERM,ATODERM LEVRES,15 ml,Care,85,"€ 2,979",2.41%,390%
MPK,CICABIO,CICABIO CREAM+,40 ml,Care,85,€ 756,269.57%,265%
MPK,SEBIUM,SEBIUM PORE REFINER,30 ml,Care,85,"€ 1,399",14.86%,26%
MedPex,ATODERM,ATODERM CREAM ULTRA,500 ml,Care,82,"€ 3,650",382.35%,1272%
MPK,SENSIBIO,SENSIBIO AR CREAM,40 ml,Care,82,"€ 1,614",-76.23%,-74%
Shop Apotheke,PIGMENTBIO,PIGMENTBIO C-CONCENTRATE,15 ml,Care,82,"€ 2,281",645.45%,645%
Zalando,SEBIUM,SEBIUM GEL MOUSSANT,500 ml,Cleansing,81,"€ 3,044",440.00%,1253%
DocMorris,SEBIUM,SEBIUM GEL GOMMANT,100 ml,Cleansing,79,"€ 1,118",243.48%,298%
MedPex,ATODERM,ATODERM INTENSIVE EYE,100 ml,Care,79,"€ 2,983",229.17%,563%
MedPex,SEBIUM,SEBIUM MAT CONTROL,30 ml,Care,79,"€ 2,173",229.17%,585%
MedPex,SEBIUM,SEBIUM H2O DUO,2X500 ml,Cleansing,79,"€ 1,131",229.17%,151%
Shop Apotheke,ATODERM,ATODERM PP BAUME,200 ml,Care,79,"€ 1,097",23.44%,26%
Shop Apotheke,SENSIBIO,SENSIBIO AR+ BI-SERUM,30 ml,Care,79,"€ 2,199",0.00%,0%
ApoDiscounter,SEBIUM,SEBIUM GLOBAL,30 ml,Care,78,"€ 1,082",-13.33%,-13%
Shop Apotheke,PHOTODERM,PHOTODERM APRES-SOLEIL,200 ml,Sun Care,77,"€ 1,015",266.67%,266%
Shop Apotheke,PHOTODERM,PHOTODERM AQUAFLUIDE TINTED SPF 50+,40 ml,Sun Care,77,"€ 1,271",-50.64%,-48%
DocMorris,ATODERM,ATODERM INTENSIVE GEL-CREAM,500 ml,Care,76,"€ 2,038",162.07%,210%
MedPex,CICABIO,CICABIO CREAM+,40 ml,Care,76,"€ 1,560",1800.00%,4233%
Shop Apotheke,PHOTODERM,PHOTODERM SPRAY SPF 50+,200 ml,Sun Care,76,"€ 1,373",-11.63%,-12%
ApoDiscounter,HYDRABIO,HYDRABIO HYALU+ SERUM,30 ml,Care,75,"€ 1,379",-21.05%,-45%
ApoDiscounter,SENSIBIO,SENSIBIO DEFENSIVE SERUM,30 ml,Care,75,"€ 2,429",-42.31%,-29%
MPK,ATODERM,ATODERM INTENSIVE EYE,100 ml,Care,75,"€ 1,508",10.29%,18%
ApoDiscounter,SEBIUM,SEBIUM GEL MOUSSANT,200 ml,Cleansing,72,"€ 1,139",10.77%,54%
DocMorris,PHOTODERM,PHOTODERM CRÈME SPF 50+,40 ml,Sun Care,72,"€ 1,273",1100.00%,1254%
MPK,HYDRABIO,HYDRABIO H2O DUO,2X500 ml,Cleansing,72,"€ 1,660",1.41%,25%
ApoDiscounter,SEBIUM,SEBIUM H2O,500 ml,Cleansing,71,"€ 2,182",0.00%,126%
ApoDiscounter,PHOTODERM,PHOTODERM AKN MAT SPF 30,40 ml,Sun Care,70,"€ 1,279",-10.26%,-6%
ApoDiscounter,PHOTODERM,PHOTODERM SPOT-AGE SPF 50+,40 ml,Sun Care,69,"€ 1,379",-33.01%,-23%
DocMorris,ATODERM,ATODERM INTENSIVE BAUME,75 ml,Care,69,€ 949,146.43%,324%
ApoDiscounter,SEBIUM,SEBIUM GEL MOUSSANT,100 ml,Cleansing,68,€ 535,74.36%,131%
DocMorris,SEBIUM,SEBIUM GLOBAL,30 ml,Care,68,"€ 1,369",466.67%,720%
DocMorris,HYDRABIO,HYDRABIO CREAM,50 ml,Care,67,"€ 1,427",9.84%,30%
DocMorris,SENSIBIO,SENSIBIO MASK,75 ml,Cleansing,67,"€ 1,986",168.00%,384%
DocMorris,NODE,NODE FLUIDE,200 ml,Care,66,"€ 1,076",371.43%,782%
MedPex,SENSIBIO,SENSIBIO DEFENSIVE,40 ml,Care,65,"€ 2,591",209.52%,723%
DocMorris,SENSIBIO,SENSIBIO AR CREAM,40 ml,Care,64,"€ 1,282",-12.33%,-1%
MPK,PHOTODERM,PHOTODERM MINERAL FLUIDE SPF 50+,75 g,Sun Care,64,"€ 1,209",220.00%,263%
ApoDiscounter,ATODERM,ATODERM INTENSIVE GEL-CREAM,500 ml,Care,63,"€ 1,744",-46.61%,-35%
ApoDiscounter,SENSIBIO,SENSIBIO GEL MOUSSANT,100 ml,Cleansing,63,€ 816,530.00%,1260%
ApoDiscounter,HYDRABIO,HYDRABIO H2O,500 ml,Cleansing,62,€ 894,-1.59%,4%
ApoDiscounter,SENSIBIO,SENSIBIO AR+ BI-SERUM,30 ml,Care,62,"€ 1,734",0.00%,0%
MPK,ATODERM,ATODERM INTENSIVE BAUME,200 ml,Care,61,€ 869,-1.61%,-7%
MPK,HYDRABIO,HYDRABIO SERUM,40 ml,Care,61,"€ 1,538",-46.02%,-34%
MPK,SEBIUM,SEBIUM SENSITIVE,30 ml,Care,61,€ 747,32.61%,17%
Shop Apotheke,PHOTODERM,PHOTODERM X-DEFENSE INVISIBLE SPF 50+,40 ml,Sun Care,61,"€ 1,015",0.00%,0%
DocMorris,SENSIBIO,SENSIBIO DEFENSIVE SERUM,30 ml,Care,60,"€ 3,689",566.67%,1450%
Shop Apotheke,ATODERM,ATODERM GEL DOUCHE,100 ml,Cleansing,60,€ 288,30.43%,38%
TNA,ATODERM,ATODERM CREAM ULTRA,500 ml,Care,59,€ 311,0.00%,0%
DocMorris,SEBIUM,SEBIUM GEL MOUSSANT ACTIF,200 ml,Cleansing,59,"€ 1,260",247.06%,473%
MedPex,SENSIBIO,SENSIBIO H2O,250 ml,Cleansing,59,"€ 1,686",51.28%,359%
MPK,HYDRABIO,HYDRABIO GEL-CREAM,40 ml,Care,59,"€ 1,386",-28.92%,0%
MPK,NODE,NODE DS+,125 ml,Care,59,"€ 1,256",0.00%,65%
Zalando,ATODERM,ATODERM GEL DOUCHE,1 l,Cleansing,59,"€ 3,864",2850.00%,14211%
ApoDiscounter,PIGMENTBIO,PIGMENTBIO DAILY CARE SPF 50+,40 ml,Care,58,"€ 1,275",0.00%,0%
DocMorris,ATODERM,ATODERM INTENSIVE BAUME,200 ml,Care,58,"€ 1,324",114.81%,227%
MedPex,ATODERM,ATODERM MAINS & ONGLES,50 ml,Care,58,€ 959,241.18%,990%
MedPex,ATODERM,ATODERM GEL DOUCHE,500 ml,Cleansing,58,"€ 1,286",141.67%,452%
Zalando,PHOTODERM,PHOTODERM AR SPF 50+,30 ml,Sun Care,58,"€ 2,571",544.44%,1548%
ApoDiscounter,SEBIUM,SEBIUM H2O DUO,2X500 ml,Cleansing,56,€ 401,-82.22%,-93%
MedPex,HYDRABIO,HYDRABIO GEL-CREAM,40 ml,Care,56,"€ 2,147",124.00%,416%
ApoDiscounter,PHOTODERM,PHOTODERM AQUAFLUIDE TINTED SPF 50+,40 ml,Sun Care,55,€ 465,-12.70%,-53%
DocMorris,HYDRABIO,HYDRABIO H2O,500 ml,Cleansing,55,€ 903,358.33%,454%
MedPex,ATODERM,ATODERM INTENSIVE BAUME,75 ml,Care,55,"€ 3,219",205.56%,2135%
MPK,PHOTODERM,PHOTODERM PEDIATRICS SPRAY SPF 50+,200 ml,Sun Care,55,"€ 1,197",103.70%,113%
DocMorris,CICABIO,CICABIO CREAM+,40 ml,Care,54,"€ 1,319",5300.00%,14556%
MedPex,ATODERM,ATODERM INTENSIVE GEL-CREAM,500 ml,Care,54,"€ 1,768",500.00%,762%
MedPex,CICABIO,CICABIO CREAM+ SPF 50+,30  ml,Care,54,"€ 1,835",390.91%,1455%
MedPex,HYDRABIO,HYDRABIO CREAM,50 ml,Care,54,"€ 1,300",200.00%,301%
ApoDiscounter,ATODERM,ATODERM CREAM ULTRA PUMP,200 ml,Care,53,€ 964,0.00%,0%
ApoDiscounter,ATODERM,ATODERM STICK LEVRES,4 g,Care,53,€ 486,-47.52%,6%
ApoDiscounter,PHOTODERM,PHOTODERM MINERAL FLUIDE SPF 50+,75 g,Sun Care,53,"€ 2,348",29.27%,243%
MPK,HYDRABIO,HYDRABIO CREAM,50 ml,Care,53,€ 907,-25.35%,-29%
ApoDiscounter,SEBIUM,SEBIUM GEL MOUSSANT ACTIF,200 ml,Cleansing,52,€ 676,-59.69%,-59%
TNA,ATODERM,ATODERM HUILE DE DOUCHE,1 l,Cleansing,52,€ 943,0.00%,0%
MPK,ATODERM,ATODERM CREAM ULTRA PUMP,200 ml,Care,52,"€ 1,161",0.00%,0%
MPK,SENSIBIO,SENSIBIO GEL MOUSSANT,200 ml,Cleansing,52,€ 691,-5.45%,9%
Shop Apotheke,ATODERM,ATODERM HUILE DE DOUCHE,200 ml,Cleansing,52,€ 491,-78.24%,-78%
DocMorris,SENSIBIO,SENSIBIO LAIT,250 ml,Care,51,€ 800,240.00%,328%
MPK,HYDRABIO,HYDRABIO PERFECTEUR SPF 30,40 ml,Care,51,"€ 1,229",-20.31%,6%
MPK,SEBIUM,SEBIUM MAT CONTROL,30 ml,Care,51,€ 712,18.60%,26%
Shop Apotheke,PHOTODERM,PHOTODERM X-DEFENSE TINTED LIGHT SPF 50+,40 ml,Sun Care,51,€ 848,0.00%,0%
ApoDiscounter,ATODERM,ATODERM HUILE DE DOUCHE,500 ml,Cleansing,50,€ 987,0.00%,0%
DocMorris,ATODERM,ATODERM PP BAUME,200 ml,Care,50,€ 846,284.62%,378%
ApoDiscounter,PHOTODERM,PHOTODERM CRÈME TINTED SPF 50+,40 ml,Sun Care,49,"€ 1,204",75.00%,174%
DocMorris,ATODERM,ATODERM GEL DOUCHE,500 ml,Cleansing,49,€ 689,206.25%,345%
MedPex,SENSIBIO,SENSIBIO GEL MOUSSANT,200 ml,Cleansing,49,"€ 2,353",96.00%,717%
Shop Apotheke,HYDRABIO,HYDRABIO H2O,250 ml,Cleansing,49,€ 491,-31.94%,-27%
Zalando,ATODERM,ATODERM HUILE DE DOUCHE,1 l,Care,49,"€ 3,694",512.50%,2465%
Zalando,SEBIUM,SEBIUM PORE REFINER,30 ml,Care,49,"€ 2,447",4800.00%,16213%
ApoDiscounter,HYDRABIO,HYDRABIO H2O,250 ml,Cleansing,48,€ 442,140.00%,135%
DocMorris,HYDRABIO,HYDRABIO H2O DUO,2X500 ml,Cleansing,48,"€ 2,019",336.36%,880%
ApoDiscounter,PHOTODERM,PHOTODERM X-DEFENSE INVISIBLE SPF 50+,40 ml,Sun Care,47,€ 802,0.00%,0%
ApoDiscounter,SENSIBIO,SENSIBIO MICELLAR CLEANSING OIL,150 ml,Cleansing,47,"€ 1,024",0.00%,0%
MedPex,HYDRABIO,HYDRABIO H2O DUO,2X500 ml,Cleansing,47,"€ 2,095",62.07%,285%
DocMorris,PHOTODERM,PHOTODERM SPOT-AGE SPF 50+,40 ml,Sun Care,46,"€ 1,164",228.57%,379%
ApoDiscounter,NODE,NODE DS+,125 ml,Care,45,"€ 1,825",-16.67%,163%
TNA,PIGMENTBIO,PIGMENTBIO FOAMING CREAM,200 ml,Cleansing,45,"€ 1,806",0.00%,0%
MedPex,PHOTODERM,PHOTODERM CRÈME SPF 50+,40 ml,Sun Care,45,"€ 1,739",542.86%,1481%
MedPex,SENSIBIO,SENSIBIO GEL MOUSSANT,100 ml,Cleansing,45,€ 781,114.29%,525%
ApoDiscounter,ATODERM,ATODERM PP BAUME,200 ml,Care,44,€ 831,7.32%,49%
Shop Apotheke,HYDRABIO,HYDRABIO H2O,100 ml,Cleansing,44,€ 260,-57.28%,-54%
ApoDiscounter,CICABIO,CICABIO ARNICA+,40 ml,Care,43,€ 307,59.26%,26%
ApoDiscounter,NODE,NODE FLUIDE,200 ml,Care,43,€ 926,-21.82%,93%
MPK,SEBIUM,SEBIUM GEL MOUSSANT,200 ml,Cleansing,43,"€ 1,353",-24.56%,110%
DocMorris,NODE,NODE K,150 ml,Care,42,"€ 1,233",366.67%,963%
MedPex,ATODERM,ATODERM GEL DOUCHE,1 l,Cleansing,42,"€ 1,442",110.00%,428%
Shop Apotheke,SEBIUM,SEBIUM KERATO+,30 ml,Care,42,€ 626,-84.03%,-84%
MedPex,NODE,NODE DS+,125 ml,Care,41,"€ 1,568",141.18%,616%
MedPex,PHOTODERM,PHOTODERM MINERAL FLUIDE SPF 50+,75 g,Sun Care,41,"€ 1,866",173.33%,646%
MedPex,SEBIUM,SEBIUM SENSITIVE,30 ml,Care,41,"€ 1,864",412.50%,1579%
MPK,PHOTODERM,PHOTODERM CRÈME SPF 50+,40 ml,Sun Care,41,"€ 1,808",-35.94%,80%
MPK,SENSIBIO,SENSIBIO H2O EYE,125 ml,Cleansing,41,€ 720,17.14%,65%
ApoDiscounter,SEBIUM,SEBIUM SERUM,30 ml,Care,40,"€ 1,400",-36.51%,-16%
Zalando,PHOTODERM,PHOTODERM AQUAFLUIDE SPF 50+,40 ml,Sun Care,40,"€ 1,585",471.43%,1341%
DocMorris,SENSIBIO,SENSIBIO H2O PUMP,500 ml,Cleansing,39,"€ 1,516",2.63%,161%
Shop Apotheke,PHOTODERM,PHOTODERM BRONZ SUN PROTECTIVE WATER SPF 30,200 ml,Sun Care,39,€ 814,0.00%,0%
ApoDiscounter,SEBIUM,SEBIUM GEL GOMMANT,100 ml,Cleansing,37,€ 650,-41.27%,-15%
MedPex,PHOTODERM,PHOTODERM AKN MAT SPF 30,40 ml,Sun Care,37,"€ 1,174",184.62%,419%
MedPex,SENSIBIO,SENSIBIO LAIT,250 ml,Care,37,"€ 1,319",15.63%,231%
MPK,ATODERM,ATODERM INTENSIVE BAUME,75 ml,Care,37,"€ 1,007",-13.95%,193%
Shop Apotheke,SEBIUM,SEBIUM H2O PUMP,500 ml,Cleansing,37,€ 580,-39.34%,-38%
Shop Apotheke,SENSIBIO,SENSIBIO H2O PUMP,850 ml,Cleansing,37,€ 668,208.33%,208%
MedPex,ATODERM,ATODERM INTENSIVE BAUME,200 ml,Care,36,"€ 1,418",44.00%,278%
MPK,ATODERM,ATODERM GEL DOUCHE,500 ml,Cleansing,36,€ 567,-16.28%,36%
MPK,SEBIUM,SEBIUM GLOBAL,30 ml,Care,36,"€ 1,030",-18.18%,69%
MPK,SENSIBIO,SENSIBIO DEFENSIVE SERUM,30 ml,Care,36,€ 949,-16.28%,-16%
Zalando,SEBIUM,SEBIUM GEL MOUSSANT,100 ml,Cleansing,36,€ 720,1100.00%,3900%
ApoDiscounter,SEBIUM,SEBIUM H2O,250 ml,Cleansing,35,"€ 1,061",-10.26%,188%
DocMorris,PIGMENTBIO,PIGMENTBIO DAILY CARE SPF 50+,40 ml,Care,35,€ 750,0.00%,0%
MPK,SEBIUM,SEBIUM GEL MOUSSANT ACTIF,200 ml,Cleansing,35,€ 494,12.90%,24%
ApoDiscounter,ATODERM,ATODERM INTENSIVE GEL MOUSSANT,200 ml,Cleansing,34,"€ 1,535",21.43%,509%
DocMorris,PIGMENTBIO,PIGMENTBIO FOAMING CREAM,200 ml,Cleansing,34,"€ 2,582",0.00%,0%
MedPex,HYDRABIO,HYDRABIO H2O,500 ml,Cleansing,34,"€ 1,230",3.03%,174%
MedPex,SEBIUM,SEBIUM H2O,500 ml,Cleansing,34,"€ 2,091",100.00%,801%
MPK,NODE,NODE K,150 ml,Care,34,"€ 1,318",-5.56%,183%
MPK,SENSIBIO,SENSIBIO MASK,75 ml,Cleansing,34,€ 470,25.93%,6%
TNA,PHOTODERM,PHOTODERM AR SPF 50+,30 ml,Sun Care,33,€ 530,0.00%,0%
MedPex,SENSIBIO,SENSIBIO DEFENSIVE SERUM,30 ml,Care,33,"€ 2,534",230.00%,860%
ApoDiscounter,PHOTODERM,PHOTODERM CRÈME SPF 50+,40 ml,Sun Care,32,"€ 1,483",0.00%,0%
ApoDiscounter,PIGMENTBIO,PIGMENTBIO FOAMING CREAM,200 ml,Cleansing,32,"€ 2,972",0.00%,0%
DocMorris,PHOTODERM,PHOTODERM CRÈME TINTED SPF 50+,40 ml,Sun Care,32,"€ 1,564",540.00%,1880%
DocMorris,SEBIUM,SEBIUM KERATO+,30 ml,Care,32,"€ 2,624",255.56%,1903%
DocMorris,SEBIUM,SEBIUM GEL MOUSSANT,100 ml,Cleansing,32,"€ 7,369",540.00%,24463%
MedPex,SENSIBIO,SENSIBIO H2O EYE,125 ml,Cleansing,32,€ 627,100.00%,215%
ApoDiscounter,PHOTODERM,PHOTODERM SPRAY SPF 50+,200 ml,Sun Care,31,"€ 1,260",-48.33%,16%
MedPex,NODE,NODE FLUIDE,200 ml,Care,31,"€ 1,408",416.67%,2608%
MedPex,PHOTODERM,PHOTODERM SPOT-AGE SPF 50+,40 ml,Sun Care,31,"€ 2,175",24.00%,401%
MPK,ATODERM,ATODERM PP BAUME,200 ml,Care,31,€ 379,3.33%,-7%
MPK,ATODERM,ATODERM INTENSIVE GEL-CREAM,500 ml,Care,31,€ 760,63.16%,76%
MPK,PHOTODERM,PHOTODERM AKN MAT SPF 30,40 ml,Sun Care,31,€ 480,-31.11%,-39%
Zalando,SEBIUM,SEBIUM H2O,500 ml,Cleansing,31,"€ 1,955",3000.00%,13864%
ApoDiscounter,PIGMENTBIO,PIGMENTBIO NIGHT RENEWER,50 ml,Care,30,"€ 2,290",0.00%,0%
DocMorris,PIGMENTBIO,PIGMENTBIO NIGHT RENEWER,50 ml,Care,30,"€ 1,060",0.00%,0%
MedPex,SEBIUM,SEBIUM GLOBAL,30 ml,Care,30,"€ 3,079",50.00%,1008%
MPK,ATODERM,ATODERM INTENSIVE GEL-CREAM,75 ml,Care,30,"€ 7,232",42.86%,4205%
MPK,SEBIUM,SEBIUM KERATO+,30 ml,Care,30,€ 669,-16.67%,27%
MPK,SEBIUM,SEBIUM GEL MOUSSANT,100 ml,Cleansing,30,€ 183,11.11%,13%
MPK,SENSIBIO,SENSIBIO H2O PUMP,500 ml,Cleansing,30,"€ 2,629",-41.18%,238%
Zalando,SEBIUM,SEBIUM SENSITIVE,30 ml,Care,30,"€ 1,828",1400.00%,6429%
ApoDiscounter,SENSIBIO,SENSIBIO H2O PUMP,500 ml,Cleansing,29,"€ 1,260",-36.96%,79%
MedPex,SEBIUM,SEBIUM GEL GOMMANT,100 ml,Cleansing,29,€ 759,163.64%,466%
MedPex,SENSIBIO,SENSIBIO AR CREAM,40 ml,Care,29,€ 516,-58.57%,-59%
MPK,SEBIUM,SEBIUM GEL GOMMANT,100 ml,Cleansing,29,€ 337,-19.44%,-23%
MPK,SEBIUM,SEBIUM H2O,100 ml,Cleansing,29,€ 236,-6.45%,27%
MPK,SEBIUM,SEBIUM H2O,500 ml,Cleansing,29,€ 916,26.09%,194%
TNA,ATODERM,ATODERM INTENSIVE BAUME,200 ml,Care,28,€ 416,0.00%,0%
DocMorris,PHOTODERM,PHOTODERM SPRAY SPF 50+,300 ml,Sun Care,28,€ 336,0.00%,0%
DocMorris,SENSIBIO,SENSIBIO H2O EYE,125 ml,Cleansing,28,€ 642,600.00%,1184%
MPK,PHOTODERM,PHOTODERM AQUAFLUIDE TINTED SPF 50+,40 ml,Sun Care,28,€ 806,3.70%,91%
MedPex,PHOTODERM,PHOTODERM CRÈME TINTED SPF 50+,40 ml,Sun Care,27,"€ 1,010",350.00%,963%
MPK,PHOTODERM,PHOTODERM CRÈME TINTED SPF 50+,40 ml,Sun Care,27,€ 802,-10.00%,70%
TNA,HYDRABIO,HYDRABIO H2O PUMP,500 ml,Cleansing,26,€ 510,,
DocMorris,ATODERM,ATODERM INTENSIVE GEL MOUSSANT,200 ml,Cleansing,26,"€ 1,584",188.89%,1856%
DocMorris,CICABIO,CICABIO ARNICA+,40 ml,Care,26,€ 345,188.89%,326%
Shop Apotheke,HYDRABIO,HYDRABIO H2O PUMP,500 ml,Cleansing,26,€ 407,-57.38%,-56%
Zalando,SENSIBIO,SENSIBIO H2O AR,250 ml,Cleansing,26,"€ 2,309",0.00%,0%
ApoDiscounter,ATODERM,ATODERM HUILE DE DOUCHE,200 ml,Cleansing,25,€ 270,108.33%,141%
ApoDiscounter,HYDRABIO,HYDRABIO H2O,100 ml,Cleansing,25,€ 266,257.14%,565%
MPK,HYDRABIO,HYDRABIO HYALU+ SERUM,30 ml,Care,25,€ 591,31.58%,18%
MPK,SENSIBIO,SENSIBIO LAIT,250 ml,Care,25,€ 811,-37.50%,63%
Zalando,ATODERM,ATODERM MAINS & ONGLES,50 ml,Care,25,€ 661,1150.00%,6510%
Zalando,PHOTODERM,PHOTODERM AUTOBRONZANT,150 ml,Sun Care,25,€ 863,0.00%,0%
Zalando,SENSIBIO,SENSIBIO DEFENSIVE,40 ml,Care,25,"€ 2,060",1150.00%,6767%
MedPex,PIGMENTBIO,PIGMENTBIO C-CONCENTRATE,15 ml,Care,24,"€ 2,048",0.00%,0%
MedPex,SENSIBIO,SENSIBIO H2O PUMP,500 ml,Cleansing,24,€ 763,14.29%,138%
ApoDiscounter,SEBIUM,SEBIUM NIGHT PEEL,40 ml,Care,23,€ 511,21.05%,55%
MPK,ATODERM,ATODERM INTENSIVE GEL-CREAM,200 ml,Care,23,€ 356,283.33%,296%
MPK,HYDRABIO,HYDRABIO H2O,100 ml,Cleansing,23,€ 896,76.92%,1111%
TNA,ATODERM,ATODERM INTENSIVE GEL MOUSSANT,200 ml,Cleansing,22,€ 893,0.00%,0%
DocMorris,SEBIUM,SEBIUM GEL MOUSSANT,200 ml,Cleansing,22,€ 925,37.50%,414%
MedPex,HYDRABIO,HYDRABIO HYALU+ SERUM,30 ml,Care,22,"€ 1,978",340.00%,1398%
MPK,PHOTODERM,PHOTODERM X-DEFENSE INVISIBLE SPF 50+,40 ml,Sun Care,22,€ 340,0.00%,0%
TNA,ATODERM,ATODERM INTENSIVE EYE,100 ml,Care,21,€ 561,0.00%,0%
Zalando,SEBIUM,SEBIUM KERATO+,30 ml,Care,21,€ 332,425.00%,472%
ApoDiscounter,ATODERM,ATODERM GEL DOUCHE,100 ml,Cleansing,20,€ 338,53.85%,463%
ApoDiscounter,PHOTODERM,PHOTODERM APRES-SOLEIL,200 ml,Sun Care,20,€ 184,0.00%,0%
ApoDiscounter,SEBIUM,SEBIUM HYDRA CLEANSER,200 ml,Cleansing,20,€ 300,0.00%,0%
DocMorris,HYDRABIO,HYDRABIO PERFECTEUR SPF 30,40 ml,Care,20,"€ 2,317",-33.33%,327%
DocMorris,SENSIBIO,SENSIBIO MICELLAR CLEANSING OIL,150 ml,Cleansing,20,"€ 1,755",0.00%,0%
MedPex,PHOTODERM,PHOTODERM SPRAY SPF 50+,300 ml,Sun Care,20,€ 652,566.67%,579%
MedPex,SENSIBIO,SENSIBIO MASK,75 ml,Cleansing,20,"€ 1,832",25.00%,599%
MPK,HYDRABIO,HYDRABIO H2O,250 ml,Cleansing,20,€ 209,5.26%,17%
MPK,SEBIUM,SEBIUM H2O DUO,2X500 ml,Cleansing,20,€ 483,-77.27%,-71%
MPK,SENSIBIO,SENSIBIO AR+ BI-SERUM,30 ml,Care,20,€ 515,0.00%,0%
Zalando,PHOTODERM,PHOTODERM AKN MAT SPF 30,40 ml,Sun Care,20,€ 764,900.00%,2083%
Zalando,SENSIBIO,SENSIBIO EYE,15 ml,Care,20,"€ 2,036",300.00%,2851%
TNA,SENSIBIO,SENSIBIO H2O,100 ml,Cleansing,19,€ 369,0.00%,0%
DocMorris,ATODERM,ATODERM HUILE DE DOUCHE,100 ml,Cleansing,19,€ 322,533.33%,1689%
DocMorris,PHOTODERM,PHOTODERM AQUAFLUIDE TINTED SPF 50+,40 ml,Sun Care,19,€ 597,850.00%,1826%
MedPex,SEBIUM,SEBIUM KERATO+,30 ml,Care,19,€ 133,533.33%,202%
MPK,PHOTODERM,PHOTODERM AUTOBRONZANT,150 ml,Sun Care,19,"€ 1,468",216.67%,1782%
Zalando,HYDRABIO,HYDRABIO PERFECTEUR SPF 30,40 ml,Care,19,"€ 1,440",216.67%,1233%
ApoDiscounter,ATODERM,ATODERM HUILE DE DOUCHE,100 ml,Cleansing,18,€ 474,-10.00%,295%
TNA,PIGMENTBIO,PIGMENTBIO C-CONCENTRATE,15 ml,Care,18,€ 797,0.00%,0%
MedPex,CICABIO,CICABIO ARNICA+,40 ml,Care,18,€ 341,80.00%,279%
MedPex,PHOTODERM,PHOTODERM BRONZ SUN PROTECTIVE WATER SPF 30,200 ml,Sun Care,18,€ 572,350.00%,589%
MPK,ATODERM,ATODERM HUILE DE DOUCHE,100 ml,Cleansing,18,€ 97,38.46%,24%
MPK,SEBIUM,SEBIUM H2O,250 ml,Cleansing,18,€ 336,-28.00%,42%
DocMorris,SEBIUM,SEBIUM SERUM,30 ml,Care,17,€ 943,750.00%,1679%
MedPex,ATODERM,ATODERM PP BAUME,200 ml,Care,17,€ 485,325.00%,798%
MedPex,ATODERM,ATODERM HUILE DE DOUCHE,200 ml,Cleansing,17,€ 642,13.33%,352%
MedPex,ATODERM,ATODERM INTENSIVE GEL MOUSSANT,200 ml,Cleansing,17,€ 532,70.00%,491%
MPK,ATODERM,ATODERM GEL DOUCHE,100 ml,Cleansing,17,€ 166,70.00%,261%
MPK,CICABIO,CICABIO ARNICA+,40 ml,Care,17,€ 302,-19.05%,60%
MPK,PHOTODERM,PHOTODERM APRES-SOLEIL,200 ml,Sun Care,17,"€ 3,981",-95.87%,-48%
MPK,PHOTODERM,PHOTODERM SPOT-AGE SPF 50+,40 ml,Sun Care,17,€ 461,-37.04%,-1%
Zalando,SENSIBIO,SENSIBIO H2O EYE,125 ml,Cleansing,17,€ 657,1600.00%,5375%
ApoDiscounter,PHOTODERM,PHOTODERM BRONZ SUN PROTECTIVE WATER SPF 30,200 ml,Sun Care,16,€ 298,0.00%,0%
MedPex,PIGMENTBIO,PIGMENTBIO FOAMING CREAM,200 ml,Cleansing,16,"€ 7,140",0.00%,0%
MedPex,SEBIUM,SEBIUM GEL MOUSSANT,200 ml,Cleansing,16,"€ 1,139",6.67%,562%
ApoDiscounter,SEBIUM,SEBIUM H2O,100 ml,Cleansing,15,€ 390,0.00%,0%
