Retailer,Range,Product Name,Size,Product Type,Unit,Revenue,Δ Unit YTD %,Δ Revenue YTD %
Shop Apotheke,PIGMENTBIO,PIGMENTBIO FOAMING CREAM,200 ml,Cleansing,430,"€ 6,450",505.63%,506%
ApoDiscounter,SEBIUM,SEBIUM HYDRA,40 ml,Care,423,"€ 6,423",34.71%,55%
ApoDiscounter,SENSIBIO,SENSIBIO AR BB CREAM SPF 30,40 ml,Care,420,"€ 7,014",50.54%,34%
Shop Apotheke,ATODERM,ATODERM MAINS & ONGLES,50 ml,Care,417,"€ 2,294",45.30%,53%
Shop Apotheke,HYDRABIO,HYDRABIO PERFECTEUR SPF 30,40 ml,Care,405,"€ 7,574",62.65%,68%
Shop Apotheke,CICABIO,CICABIO CREAM+,40 ml,Care,396,"€ 4,039",355.17%,416%
ApoDiscounter,HYDRABIO,HYDRABIO TONIQUE,250 ml,Care,395,"€ 4,376",42.60%,29%
TNA,SENSIBIO,SENSIBIO H2O DUO,2X500 ml,Cleansing,394,"€ 9,540",,
Shop Apotheke,ATODERM,ATODERM LEVRES,15 ml,Care,389,"€ 2,917",26.30%,29%
ApoDiscounter,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,380,"€ 12,088",-31.65%,60%
Zalando,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,371,"€ 13,757",290.53%,965%
DocMorris,SENSIBIO,SENSIBIO AR BB CREAM SPF 30,40 ml,Care,364,"€ 8,316",487.10%,615%
Shop Apotheke,ATODERM,ATODERM INTENSIVE BAUME,200 ml,Care,364,"€ 5,569",43.87%,47%
MedPex,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,355,"€ 15,099",14.52%,258%
MPK,SENSIBIO,SENSIBIO H2O AR,250 ml,Cleansing,343,"€ 3,024",28.95%,9%
ApoDiscounter,ATODERM,ATODERM INTENSIVE BAUME,500 ml,Care,339,"€ 8,613",429.69%,494%
Shop Apotheke,SENSIBIO,SENSIBIO MASK,75 ml,Cleansing,336,"€ 5,578",17.89%,19%
Shop Apotheke,PHOTODERM,PHOTODERM MINERAL FLUIDE SPF 50+,75 g,Sun Care,335,"€ 5,584",196.46%,196%
TNA,ATODERM,ATODERM INTENSIVE BAUME,500 ml,Care,330,"€ 12,426",0.00%,0%
MedPex,SENSIBIO,SENSIBIO H2O AR,250 ml,Cleansing,326,"€ 4,865",72.49%,148%
DocMorris,SEBIUM,SEBIUM HYDRA,40 ml,Care,318,"€ 7,545",312.99%,643%
Shop Apotheke,SEBIUM,SEBIUM H2O DUO,2X500 ml,Cleansing,317,"€ 6,181",99.37%,107%
DocMorris,SENSIBIO,SENSIBIO EYE,15 ml,Care,311,"€ 4,725",211.00%,240%
Shop Apotheke,PHOTODERM,PHOTODERM AQUAFLUIDE SPF 50+,40 ml,Sun Care,305,"€ 5,034",-60.54%,-58%
ApoDiscounter,HYDRABIO,HYDRABIO GEL-CREAM,40 ml,Care,304,"€ 4,155",28.81%,6%
Shop Apotheke,ATODERM,ATODERM CREAM ULTRA PUMP,200 ml,Care,300,"€ 3,300",0.00%,0%
ApoDiscounter,PHOTODERM,PHOTODERM AR SPF 50+,30 ml,Sun Care,295,"€ 4,642",22.92%,11%
MPK,SENSIBIO,SENSIBIO EYE,15 ml,Care,277,"€ 3,638",-3.82%,-9%
MPK,SENSIBIO,SENSIBIO H2O,500 ml,Cleansing,274,"€ 5,450",-50.81%,-28%
MPK,SENSIBIO,SENSIBIO GEL MOUSSANT,500 ml,Cleansing,269,"€ 5,528",28.71%,76%
ApoDiscounter,SENSIBIO,SENSIBIO H2O,100 ml,Cleansing,266,"€ 1,959",-33.83%,-12%
DocMorris,SENSIBIO,SENSIBIO AR+ CREME,40 ml,Care,263,"€ 6,085",0.00%,0%
Shop Apotheke,NODE,NODE FLUIDE,200 ml,Care,262,"€ 2,358",56.89%,62%
Shop Apotheke,HYDRABIO,HYDRABIO CREAM,50 ml,Care,258,"€ 4,659",-36.30%,-36%
Shop Apotheke,SEBIUM,SEBIUM GEL MOUSSANT ACTIF,200 ml,Cleansing,254,"€ 3,353",18.69%,21%
Shop Apotheke,SEBIUM,SEBIUM GEL MOUSSANT,200 ml,Cleansing,251,"€ 2,966",-5.64%,-1%
Shop Apotheke,PHOTODERM,PHOTODERM SPOT-AGE SPF 50+,40 ml,Sun Care,250,"€ 4,342",43.68%,44%
DocMorris,SENSIBIO,SENSIBIO GEL MOUSSANT,100 ml,Cleansing,249,"€ 1,633",1456.25%,1619%
TNA,SEBIUM,SEBIUM MAT CONTROL,30 ml,Care,247,"€ 3,945",0.00%,0%
ApoDiscounter,SENSIBIO,SENSIBIO DEFENSIVE RICH,40 ml,Care,246,"€ 2,643",-9.56%,-35%
DocMorris,NODE,NODE DS+,125 ml,Care,243,"€ 3,194",556.76%,568%
DocMorris,PHOTODERM,PHOTODERM AR SPF 50+,30 ml,Sun Care,238,"€ 4,570",815.38%,911%
Shop Apotheke,SENSIBIO,SENSIBIO H2O PUMP,500 ml,Cleansing,237,"€ 3,721",17.33%,21%
MPK,SENSIBIO,SENSIBIO H2O,100 ml,Cleansing,233,"€ 1,199",25.95%,18%
Shop Apotheke,SEBIUM,SEBIUM GEL GOMMANT,100 ml,Cleansing,233,"€ 2,913",13.11%,16%
DocMorris,SENSIBIO,SENSIBIO GEL MOUSSANT,200 ml,Cleansing,230,"€ 4,094",1050.00%,1680%
Shop Apotheke,NODE,NODE K,150 ml,Care,227,"€ 2,996",-41.65%,-40%
Shop Apotheke,SENSIBIO,SENSIBIO H2O EYE,125 ml,Cleansing,227,"€ 3,086",16.41%,27%
MedPex,SENSIBIO,SENSIBIO H2O,100 ml,Cleansing,221,"€ 2,056",106.54%,249%
DocMorris,SENSIBIO,SENSIBIO H2O,100 ml,Cleansing,220,"€ 2,029",168.29%,349%
Shop Apotheke,PHOTODERM,PHOTODERM AKN MAT SPF 30,40 ml,Sun Care,219,"€ 3,804",128.13%,128%
Shop Apotheke,ATODERM,ATODERM HUILE DE DOUCHE,100 ml,Cleansing,216,"€ 1,317",118.18%,125%
DocMorris,HYDRABIO,HYDRABIO TONIQUE,250 ml,Care,211,"€ 3,794",539.39%,841%
MedPex,ATODERM,ATODERM INTENSIVE BAUME,500 ml,Care,211,"€ 8,128",151.19%,327%
Shop Apotheke,ATODERM,ATODERM GEL DOUCHE,500 ml,Cleansing,208,"€ 2,080",-1.89%,1%
Shop Apotheke,SENSIBIO,SENSIBIO MICELLAR CLEANSING OIL,150 ml,Cleansing,207,"€ 3,161",417.50%,417%
DocMorris,ATODERM,ATODERM HUILE DE DOUCHE,1 l,Care,202,"€ 6,017",85.32%,206%
Zalando,SENSIBIO,SENSIBIO H2O DUO,2X500 ml,Cleansing,202,"€ 42,626",231.15%,3626%
ApoDiscounter,SENSIBIO,SENSIBIO MASK,75 ml,Cleansing,198,"€ 2,574",85.05%,47%
TNA,SENSIBIO,SENSIBIO GEL MOUSSANT,500 ml,Cleansing,196,"€ 7,802",0.00%,0%
DocMorris,ATODERM,ATODERM INTENSIVE BAUME,500 ml,Care,196,"€ 8,297",122.73%,316%
TNA,SENSIBIO,SENSIBIO AR BB CREME,40 ml,Care,194,"€ 3,674",0.00%,0%
DocMorris,SENSIBIO,SENSIBIO DEFENSIVE,40 ml,Care,191,"€ 4,295",730.43%,1145%
MPK,SENSIBIO,SENSIBIO DS+ CREAM,40 ml,Care,191,"€ 3,596",109.89%,163%
